fecha,tipo,concepto,monto,cuit,observaciones
04/08/2025,RENTAS,GIT,800718.77,,
04/08/2025,RENTAS,SUAT - Alta,66897.52,,
04/08/2025,RENTAS,Consulta,7600.00,,
04/08/2025,RENTAS,Sugit,2967100.00,,
04/08/2025,RENTAS,PROVINCIA,5096671.20,,
04/08/2025,RENTAS,DEPOSITOS,8541957.29,,
04/08/2025,RENTAS,PATAGONIA,397030.20,,
